entity,main-dev,added,total-added,ownership
.gitignore,Adam Petersen,17,17,1.0
README.md,Adam Petersen,224,227,0.99
doc/imgs/coupling_sample.png,Adam Petersen,0,0,0.0
doc/imgs/tree_map_sample.png,Adam Petersen,0,0,0.0
doc/intro.md,Adam Petersen,3,3,1.0
project.clj,Adam Petersen,42,42,1.0
src/code_maat/analysis/authors.clj,Adam Petersen,164,164,1.0
src/code_maat/analysis/entities.clj,Adam Petersen,72,72,1.0
src/code_maat/analysis/logical_coupling.clj,Adam Petersen,482,482,1.0
src/code_maat/analysis/math.clj,Adam Petersen,17,17,1.0
src/code_maat/analysis/summary.clj,Adam Petersen,29,29,1.0
src/code_maat/analysis/workarounds.clj,Adam Petersen,13,13,1.0
src/code_maat/app/app.clj,Adam Petersen,198,198,1.0
src/code_maat/core.clj,Adam Petersen,87,87,1.0
src/code_maat/dataset/dataset.clj,Adam Petersen,51,51,1.0
src/code_maat/output/csv.clj,Adam Petersen,24,24,1.0
src/code_maat/output/filters.clj,Adam Petersen,12,12,1.0
src/code_maat/parsers/git.clj,Adam Petersen,246,246,1.0
src/code_maat/parsers/hiccup_based_parser.clj,Adam Petersen,97,97,1.0
src/code_maat/parsers/limitters.clj,Adam Petersen,48,48,1.0
src/code_maat/parsers/mercurial.clj,Adam Petersen,65,65,1.0
src/code_maat/parsers/svn.clj,Adam Petersen,191,191,1.0
src/code_maat/parsers/xml.clj,Adam Petersen,17,17,1.0
src/code_maat/test/data_driven.clj,Adam Petersen,31,31,1.0
test/code_maat/analysis/authors_test.clj,Adam Petersen,68,68,1.0
test/code_maat/analysis/entities_test.clj,Adam Petersen,33,33,1.0
test/code_maat/analysis/logical_coupling_test.clj,Adam Petersen,196,196,1.0
test/code_maat/analysis/test_data.clj,Adam Petersen,40,40,1.0
test/code_maat/dataset/dataset_test.clj,Adam Petersen,35,35,1.0
test/code_maat/end_to_end/empty.git,Adam Petersen,0,0,0.0
test/code_maat/end_to_end/empty.hg,Adam Petersen,0,0,0.0
test/code_maat/end_to_end/empty.xml,Adam Petersen,3,3,1.0
test/code_maat/end_to_end/git_live_data_test.clj,Adam Petersen,18,18,1.0
test/code_maat/end_to_end/mercurial_live_data_test.clj,Adam Petersen,18,18,1.0
test/code_maat/end_to_end/mono_git.log,Adam Petersen,230,230,1.0
test/code_maat/end_to_end/scenario_tests.clj,Adam Petersen,230,230,1.0
test/code_maat/end_to_end/simple.xml,Adam Petersen,34,34,1.0
test/code_maat/end_to_end/simple_git.txt,Adam Petersen,23,23,1.0
test/code_maat/end_to_end/simple_hg.txt,Adam Petersen,6,6,1.0
test/code_maat/end_to_end/statsvn.log,Adam Petersen,9629,9629,1.0
test/code_maat/end_to_end/svn_live_data_test.clj,Adam Petersen,21,21,1.0
test/code_maat/end_to_end/tpp_hg.log,Adam Petersen,493,493,1.0
test/code_maat/parsers/git_test.clj,Adam Petersen,241,241,1.0
test/code_maat/parsers/mercurial_test.clj,Adam Petersen,56,56,1.0
test/code_maat/parsers/svn_test.clj,Adam Petersen,133,133,1.0
